Marka,Model,Depolama,RAM,Yaş,Fiyat
Samsung,Galaxy S20,256,12,2,30252.4
Samsung,Galaxy S20,128,6,2,17049.56
Oppo,A15,64,4,1,11188.28
OnePlus,9 Pro,256,4,4,24952.9
Huawei,P40,256,8,1,28148.68
Huawei,P30,64,12,0,12949.36
Huawei,Mate 40,256,12,2,26283.29
Apple,iPhone 11,64,8,1,15320.51
OnePlus,8T,64,4,0,13874.2
Xiaomi,Redmi Note 8,128,12,2,17153.91
OnePlus,9 Pro,128,6,2,16186.83
Oppo,A15,64,8,3,8753.23
Xiaomi,Redmi Note 9,128,4,5,10724.56
Huawei,Mate 40,128,4,5,13177.69
Huawei,P40,128,8,4,14858.35
Xiaomi,Redmi Note 8,64,8,2,11082.54
OnePlus,9 Pro,64,6,2,12163.77
Samsung,Galaxy S20,256,12,3,23948.05
Samsung,Galaxy S21,256,12,5,23948.65
Huawei,P30,256,12,0,23990.74
Huawei,Mate 40,128,12,5,13394.86
Huawei,Mate 40,128,6,3,12788.88
Huawei,P40,256,6,2,22388.6
Samsung,Galaxy S10,256,8,0,24682.83
Xiaomi,Mi 11,128,4,5,10093.03
Oppo,A15,128,6,1,13227.51
Huawei,P40,128,12,5,13183.1
Xiaomi,Redmi Note 8,64,4,5,7520.68
Oppo,Reno 5,64,4,5,5906.71
Huawei,Mate 40,128,8,3,14023.32
Apple,iPhone 10,256,6,0,31472.84
OnePlus,8T,64,12,0,17929.95
Apple,iPhone 11,64,4,3,13594.17
Xiaomi,Mi 11,128,4,2,14270.4
OnePlus,Nord,64,8,5,9670.79
Huawei,Mate 40,64,12,5,10048.88
Xiaomi,Redmi Note 8,128,12,0,15974.84
OnePlus,8T,128,12,3,16248.67
Samsung,Galaxy S20,64,8,4,13419.42
Xiaomi,Mi 11,64,6,4,9853.74
Xiaomi,Redmi Note 8,64,8,4,9359.67
Oppo,Reno 5,128,4,2,11577.75
OnePlus,8T,128,6,4,13471.3
Apple,iPhone 12,64,8,3,16827.44
Huawei,P30,64,6,2,11762.84
Samsung,Galaxy S20,128,12,1,19448.86
OnePlus,9 Pro,128,4,4,14029.34
Xiaomi,Redmi Note 9,64,4,1,10265.57
Samsung,Galaxy S20,256,6,2,27314.93
Xiaomi,Mi 11,256,8,5,19051.0
Huawei,P30,64,8,5,8982.33
Xiaomi,Mi 11,128,8,5,11665.23
Oppo,A15,256,8,0,26506.5
Huawei,P30,64,6,1,10855.66
Oppo,Find X3,128,8,5,11206.95
Huawei,Mate 40,256,4,1,23217.63
Samsung,Galaxy S21,128,8,1,17542.18
Huawei,P40,64,4,3,9809.1
OnePlus,9 Pro,64,6,2,12526.77
Oppo,Find X3,256,4,5,16374.5
Huawei,Mate 40,128,6,4,14218.91
Xiaomi,Redmi Note 8,128,12,4,13669.25
Xiaomi,Redmi Note 9,256,12,0,27223.36
Samsung,Galaxy S21,128,12,2,21202.06
Apple,iPhone 12,256,8,5,27655.65
Huawei,Mate 40,64,6,5,7597.11
Xiaomi,Redmi Note 9,128,4,4,10570.28
Samsung,Galaxy S21,128,6,4,17887.47
Apple,iPhone 11,128,8,2,22445.7
Apple,iPhone 12,64,8,4,16543.19
Samsung,Galaxy S21,128,8,3,17571.16
OnePlus,Nord,256,4,0,29724.95
Apple,iPhone 10,128,12,5,15661.82
Xiaomi,Redmi Note 9,128,4,5,10495.87
Xiaomi,Redmi Note 8,256,6,2,25044.1
OnePlus,Nord,64,6,5,9644.7
Samsung,Galaxy S10,256,12,1,28704.09
Oppo,Reno 5,64,6,5,5700.62
Samsung,Galaxy S10,256,8,0,26055.86
Oppo,A15,64,6,5,6272.14
OnePlus,8T,64,6,2,14523.08
Samsung,Galaxy S21,64,12,2,14606.14
Samsung,Galaxy S21,64,12,5,12592.46
Oppo,Find X3,64,6,5,6883.76
Xiaomi,Redmi Note 8,128,8,5,9805.8
Huawei,Mate 40,256,6,1,26629.86
Apple,iPhone 12,64,6,3,14131.94
Xiaomi,Redmi Note 8,256,4,3,20171.19
Xiaomi,Redmi Note 9,64,6,2,11220.49
Samsung,Galaxy S10,128,6,0,22130.82
Oppo,Reno 5,64,12,2,11035.48
Samsung,Galaxy S10,128,8,5,15983.97
OnePlus,8T,256,4,0,30872.66
Xiaomi,Redmi Note 8,128,8,3,13553.56
Huawei,P30,128,4,5,10250.86
Apple,iPhone 12,128,4,5,18591.51
Samsung,Galaxy S10,128,6,2,19253.86
Huawei,P30,64,8,3,11706.46
Xiaomi,Mi 11,256,12,5,18643.26
Apple,iPhone 12,64,8,2,15802.88
Xiaomi,Redmi Note 9,256,8,0,21816.59
Xiaomi,Redmi Note 9,256,6,1,25241.73
Huawei,P40,256,4,0,24742.44
OnePlus,9 Pro,64,6,5,9538.42
Huawei,P30,64,6,3,9617.71
Oppo,A15,128,12,4,11219.55
Oppo,A15,256,6,4,17827.79
OnePlus,Nord,256,8,0,23408.89
OnePlus,8T,128,12,2,20512.83
Huawei,P40,64,12,4,10364.57
OnePlus,Nord,256,6,4,23945.98
Apple,iPhone 12,128,12,4,20982.96
Apple,iPhone 12,64,4,0,16976.82
OnePlus,Nord,256,12,5,23567.36
OnePlus,Nord,256,8,4,25909.46
OnePlus,Nord,256,4,2,23431.27
Apple,iPhone 12,128,4,0,20190.5
Samsung,Galaxy S21,64,8,4,11804.51
Oppo,Reno 5,128,6,3,12237.86
OnePlus,Nord,256,12,1,29340.46
Xiaomi,Mi 11,64,12,5,8740.87
Oppo,Find X3,64,4,4,6936.41
OnePlus,9 Pro,128,6,1,20352.47
OnePlus,8T,128,8,4,17147.19
Samsung,Galaxy S20,64,12,3,15586.88
Huawei,P40,256,6,0,22474.46
Huawei,P40,64,4,4,9104.76
Apple,iPhone 12,128,4,1,21432.45
Samsung,Galaxy S10,256,12,2,28681.13
Huawei,P30,256,12,2,22091.01
Huawei,Mate 40,128,12,3,15859.95
Oppo,Find X3,256,4,0,24246.99
Huawei,P30,64,8,2,11559.44
Huawei,Mate 40,256,4,0,28762.15
Samsung,Galaxy S10,256,8,5,25212.73
Samsung,Galaxy S10,256,6,5,19364.73
Samsung,Galaxy S10,64,12,2,15990.94
Samsung,Galaxy S20,256,12,5,24436.01
Oppo,Reno 5,128,6,3,13483.49
Oppo,Find X3,64,8,0,12605.46
Oppo,Reno 5,256,4,1,25771.18
OnePlus,8T,128,12,3,18995.63
Samsung,Galaxy S21,128,4,0,18122.72
Samsung,Galaxy S21,64,12,2,15587.0
Oppo,Reno 5,64,4,3,9025.47
Huawei,P40,256,12,1,26727.24
Oppo,Find X3,128,12,1,16816.61
Oppo,Reno 5,64,4,3,9100.11
Xiaomi,Redmi Note 8,64,4,1,11258.33
Xiaomi,Redmi Note 8,128,4,1,13545.31
Apple,iPhone 10,128,12,1,23325.41
OnePlus,9 Pro,256,6,1,24671.77
Huawei,Mate 40,256,12,4,22858.69
Apple,iPhone 11,128,8,4,17687.14
Xiaomi,Mi 11,256,8,0,23976.94
Xiaomi,Mi 11,256,12,4,20232.29
Samsung,Galaxy S20,128,4,3,14737.9
OnePlus,8T,256,4,5,19267.28
Apple,iPhone 10,256,12,4,27195.99
Samsung,Galaxy S10,64,6,3,12953.98
Xiaomi,Mi 11,256,4,4,21693.21
Oppo,Find X3,128,6,1,14295.25
Samsung,Galaxy S10,128,8,3,14622.44
Xiaomi,Redmi Note 9,128,4,3,13630.78
Oppo,Reno 5,128,8,3,14504.9
OnePlus,8T,256,6,3,23742.7
Samsung,Galaxy S20,256,8,3,23420.06
Apple,iPhone 11,256,12,4,23713.13
Huawei,Mate 40,256,12,4,19655.97
Apple,iPhone 12,64,4,3,13348.78
OnePlus,8T,64,6,1,15142.96
Huawei,P40,128,12,1,19643.1
Oppo,Reno 5,128,4,5,11471.75
Samsung,Galaxy S10,128,8,4,14139.72
Oppo,A15,128,8,2,15171.45
OnePlus,Nord,128,6,2,17969.45
OnePlus,9 Pro,256,8,4,26212.59
Samsung,Galaxy S20,128,6,2,15568.6
Apple,iPhone 10,128,4,4,19032.58
OnePlus,8T,64,8,3,12326.44
Oppo,Reno 5,64,6,5,6484.74
Apple,iPhone 12,128,8,5,16805.91
Xiaomi,Redmi Note 9,128,12,5,11968.07
Huawei,P30,128,12,1,15135.82
OnePlus,Nord,128,8,3,16233.36
OnePlus,Nord,64,4,1,13401.1
Samsung,Galaxy S10,64,12,1,13246.03
Xiaomi,Mi 11,64,4,2,12083.64
OnePlus,Nord,64,8,4,11635.4
Samsung,Galaxy S20,64,6,3,11836.39
OnePlus,9 Pro,256,6,5,24046.01
Huawei,P40,128,12,2,18272.32
Xiaomi,Mi 11,64,12,1,12932.04
OnePlus,8T,256,4,2,28597.05
Samsung,Galaxy S20,128,4,5,14483.61
Xiaomi,Mi 11,256,4,1,24118.33
Samsung,Galaxy S10,128,8,5,12923.5
Huawei,Mate 40,128,8,1,18530.21
Samsung,Galaxy S10,128,4,3,17908.6
Apple,iPhone 12,64,8,4,15509.09
Oppo,Reno 5,128,6,2,13557.04
Xiaomi,Mi 11,256,4,0,26713.21
Apple,iPhone 11,256,4,3,26670.59
Samsung,Galaxy S21,256,6,1,30381.39
OnePlus,9 Pro,64,4,1,14560.1
Apple,iPhone 12,64,6,5,12472.11
Apple,iPhone 11,256,8,2,29622.58
Apple,iPhone 10,128,8,2,22566.26
Samsung,Galaxy S10,128,4,2,16249.17
OnePlus,Nord,128,6,3,13750.77
Huawei,Mate 40,256,4,4,21303.32
OnePlus,9 Pro,256,12,0,29857.45
OnePlus,Nord,64,12,5,10987.64
Huawei,P30,64,12,3,11265.91
Huawei,Mate 40,128,4,0,15885.92
Xiaomi,Redmi Note 9,128,12,1,18424.56
Samsung,Galaxy S20,64,4,3,12915.09
Samsung,Galaxy S20,256,12,2,26623.52
Apple,iPhone 11,128,4,1,21595.77
Samsung,Galaxy S21,128,12,4,15317.09
Apple,iPhone 10,256,6,4,24476.07
Oppo,Find X3,64,8,3,9392.59
Samsung,Galaxy S10,128,12,4,15167.58
Samsung,Galaxy S20,128,6,0,22378.49
Apple,iPhone 10,64,8,0,17375.86
Oppo,Find X3,64,4,5,7141.34
Oppo,Find X3,256,4,1,22976.0
Oppo,Find X3,64,8,2,11266.83
Huawei,P30,128,6,3,14417.82
Oppo,A15,256,12,5,16776.01
Samsung,Galaxy S21,128,8,2,20126.93
Oppo,A15,256,8,5,17835.58
Oppo,Find X3,128,8,2,16100.02
OnePlus,Nord,256,12,1,24135.15
Huawei,P30,64,12,3,10783.21
Huawei,Mate 40,128,6,4,13437.52
Huawei,P30,128,4,1,15418.35
Samsung,Galaxy S20,128,8,3,15741.8
Samsung,Galaxy S21,256,8,4,21842.98
Oppo,A15,256,12,0,25303.02
Oppo,Find X3,128,4,1,15219.14
Xiaomi,Redmi Note 8,64,8,3,8359.89
OnePlus,9 Pro,256,8,0,28489.91
Apple,iPhone 10,64,12,2,16361.5
OnePlus,8T,64,6,0,16151.2
Samsung,Galaxy S10,256,12,0,26404.22
OnePlus,Nord,64,8,3,12176.1
Oppo,Find X3,64,6,3,8059.91
OnePlus,8T,128,6,1,20368.47
Huawei,P30,64,12,3,12287.87
OnePlus,Nord,256,12,0,26242.48
OnePlus,9 Pro,64,6,4,10730.7
Xiaomi,Redmi Note 8,256,6,1,21883.61
Huawei,P40,64,12,4,9742.46
Xiaomi,Redmi Note 9,128,4,0,18404.69
OnePlus,8T,256,12,2,25687.2
Huawei,P40,256,8,1,23587.4
OnePlus,8T,128,8,3,18541.29
Xiaomi,Mi 11,64,12,3,11469.62
Xiaomi,Redmi Note 9,128,4,4,11802.15
Apple,iPhone 12,128,6,2,18816.79
OnePlus,9 Pro,128,8,4,18249.3
Huawei,Mate 40,128,6,5,12280.0
Samsung,Galaxy S10,64,4,1,15493.02
Oppo,Find X3,64,12,2,9644.8
Samsung,Galaxy S21,64,12,5,10685.98
Apple,iPhone 10,128,12,2,20550.87
OnePlus,8T,64,8,1,12894.26
Oppo,A15,64,8,3,8441.67
OnePlus,9 Pro,64,6,1,13644.34
Oppo,Find X3,64,12,5,8370.26
Apple,iPhone 11,64,4,5,13876.12
Apple,iPhone 12,64,4,4,12430.55
OnePlus,8T,64,12,0,18103.94
Samsung,Galaxy S21,128,6,0,19304.72
OnePlus,8T,128,4,5,15695.18
Xiaomi,Mi 11,128,8,5,12305.53
OnePlus,8T,64,12,1,16842.23
Apple,iPhone 12,64,8,5,13989.98
Oppo,Find X3,64,8,0,13141.21
Xiaomi,Redmi Note 9,128,12,3,12588.29
Oppo,Find X3,128,6,0,17254.5
Oppo,A15,64,4,4,5989.54
Samsung,Galaxy S21,64,12,0,18469.92
Oppo,A15,128,12,4,10671.6
Xiaomi,Redmi Note 9,128,8,3,14547.69
Samsung,Galaxy S10,64,12,3,13403.36
Apple,iPhone 10,128,8,5,16764.68
Apple,iPhone 11,64,6,0,15686.62
Huawei,P40,128,4,3,12382.84
Samsung,Galaxy S10,256,4,0,29189.66
Samsung,Galaxy S20,128,12,5,15116.03
Huawei,P40,128,12,4,13916.83
Samsung,Galaxy S20,128,12,4,17341.24
Huawei,P40,256,6,3,21397.65
Samsung,Galaxy S20,64,6,0,15246.44
Samsung,Galaxy S20,256,4,4,21962.76
Samsung,Galaxy S20,256,12,2,26394.01
OnePlus,8T,64,8,4,10502.23
Samsung,Galaxy S10,64,8,5,11791.18
Huawei,Mate 40,128,12,2,18115.08
Apple,iPhone 12,128,12,4,18107.5
Oppo,A15,128,12,5,12447.44
Samsung,Galaxy S20,64,4,3,11414.75
Oppo,Reno 5,256,4,5,18286.03
Huawei,P30,256,12,4,19208.59
Huawei,P30,256,4,0,22777.22
OnePlus,8T,128,12,5,16036.25
Xiaomi,Mi 11,64,12,1,11128.75
Apple,iPhone 12,256,4,5,22088.15
Huawei,P40,64,12,1,12337.92
Huawei,P40,64,12,2,10709.79
OnePlus,Nord,256,6,2,27791.15
Oppo,Find X3,64,6,4,8525.52
Apple,iPhone 12,128,6,0,22937.49
Samsung,Galaxy S10,64,4,4,12537.23
Samsung,Galaxy S21,128,4,1,16954.73
Samsung,Galaxy S10,64,8,5,9935.73
Oppo,A15,128,8,2,13536.53
Huawei,P40,64,4,0,11835.88
Samsung,Galaxy S21,256,8,4,26747.43
Apple,iPhone 12,256,8,0,29289.68
OnePlus,9 Pro,128,4,5,13440.4
OnePlus,8T,64,12,1,13171.52
Huawei,P40,128,8,0,18352.12
Samsung,Galaxy S20,64,6,3,12506.55
Huawei,Mate 40,64,6,2,10323.42
Apple,iPhone 11,128,12,0,22371.59
Oppo,Find X3,64,8,5,8049.58
Samsung,Galaxy S10,64,8,5,11102.04
Apple,iPhone 12,64,4,4,13878.17
OnePlus,8T,256,8,5,24325.22
OnePlus,9 Pro,256,8,4,27492.8
Samsung,Galaxy S21,256,8,0,28185.41
OnePlus,Nord,64,8,3,10476.99
Samsung,Galaxy S21,256,8,4,27572.08
Apple,iPhone 12,256,12,2,25781.34
Apple,iPhone 12,128,6,2,20545.9
Samsung,Galaxy S20,128,6,5,15014.54
Samsung,Galaxy S10,128,6,5,12831.99
Huawei,P40,256,4,5,19336.23
Huawei,P30,128,4,1,16248.06
Oppo,A15,64,12,2,10995.3
Huawei,P40,256,12,2,21385.66
Oppo,A15,128,8,2,15004.01
Xiaomi,Mi 11,256,8,5,21747.66
Xiaomi,Redmi Note 8,128,12,5,11940.11
Oppo,Reno 5,128,8,5,10232.76
Samsung,Galaxy S21,64,8,0,14621.52
Xiaomi,Mi 11,64,4,2,9919.09
Samsung,Galaxy S20,64,4,0,18147.12
Xiaomi,Redmi Note 9,64,4,5,7760.54
Huawei,P30,128,6,0,18011.24
Apple,iPhone 12,128,6,2,18310.04
Samsung,Galaxy S10,256,4,5,21785.45
Xiaomi,Redmi Note 9,256,12,3,24330.76
Xiaomi,Mi 11,128,12,2,15133.7
OnePlus,8T,128,6,2,15001.02
Huawei,Mate 40,64,6,2,13468.18
Apple,iPhone 11,128,6,1,24330.85
Huawei,Mate 40,256,8,1,26262.5
Samsung,Galaxy S10,256,12,0,32390.27
Xiaomi,Redmi Note 8,64,4,0,11948.07
Huawei,P30,256,6,1,22343.13
Xiaomi,Redmi Note 9,64,6,5,6330.71
Apple,iPhone 12,256,4,1,27379.31
Samsung,Galaxy S21,128,12,1,18955.12
Apple,iPhone 10,256,12,3,25819.1
Samsung,Galaxy S21,128,4,2,16599.76
Apple,iPhone 12,128,4,5,16869.63
Apple,iPhone 12,256,12,5,29055.02
OnePlus,8T,128,8,0,20211.79
Apple,iPhone 12,64,6,0,20063.57
Huawei,Mate 40,64,4,2,11932.03
OnePlus,8T,64,4,1,14319.93
Xiaomi,Mi 11,64,8,0,11457.03
Oppo,Reno 5,64,4,0,13097.92
Samsung,Galaxy S21,64,6,5,10788.46
Huawei,Mate 40,256,8,4,24554.9
OnePlus,Nord,64,8,0,15056.95
OnePlus,Nord,256,12,5,22610.65
Huawei,P30,64,4,1,10221.51
Oppo,Find X3,64,12,1,11409.36
OnePlus,8T,128,6,5,12543.61
Samsung,Galaxy S20,256,4,2,23463.09
Samsung,Galaxy S10,64,8,4,11263.11
Huawei,P40,256,8,3,25614.61
Xiaomi,Redmi Note 9,64,6,2,9324.38
Xiaomi,Redmi Note 8,128,6,3,12338.43
OnePlus,Nord,64,4,2,12629.51
Oppo,Reno 5,256,6,5,19613.11
Huawei,P40,256,6,1,23933.25
Samsung,Galaxy S10,64,8,1,13067.27
Apple,iPhone 11,64,4,2,17050.78
Huawei,P30,128,4,3,15412.62
Apple,iPhone 12,256,4,4,23946.11
Apple,iPhone 10,256,4,2,23641.51
Xiaomi,Redmi Note 8,256,12,5,19211.14
Xiaomi,Mi 11,64,4,5,7149.08
Samsung,Galaxy S21,256,8,0,28983.84
Huawei,P30,256,6,4,23099.61
Apple,iPhone 11,256,8,0,33662.42
Apple,iPhone 10,256,8,1,25795.47
Huawei,Mate 40,256,4,4,24585.08
OnePlus,Nord,64,8,4,11188.84
OnePlus,9 Pro,64,6,2,13252.71
Xiaomi,Redmi Note 9,128,8,3,13226.94
Apple,iPhone 12,256,12,0,32657.55
Xiaomi,Redmi Note 9,64,6,5,8215.93
Huawei,P30,256,8,1,25517.99
Huawei,P40,128,12,0,15817.01
Huawei,P40,64,12,2,11973.31
Xiaomi,Mi 11,64,8,0,14633.89
Samsung,Galaxy S20,64,8,5,12441.73
Oppo,Reno 5,64,12,2,11560.94
Huawei,P40,256,12,5,23444.47
Oppo,Find X3,64,12,5,7891.89
Xiaomi,Redmi Note 9,128,8,2,16119.02
Apple,iPhone 10,128,6,2,20217.9
Samsung,Galaxy S21,256,4,4,23981.86
Apple,iPhone 10,128,4,5,16147.53
Huawei,Mate 40,128,6,0,18058.5
OnePlus,8T,128,8,0,17607.72
Xiaomi,Mi 11,64,4,2,11572.25
Samsung,Galaxy S21,64,8,0,15852.87
Xiaomi,Redmi Note 8,256,6,3,19844.02
Apple,iPhone 10,128,12,0,25171.76
Huawei,Mate 40,256,4,5,21744.02
Xiaomi,Redmi Note 9,128,4,3,13748.53
Samsung,Galaxy S20,128,12,5,13838.85
Xiaomi,Redmi Note 9,256,4,4,21617.83
OnePlus,8T,64,12,0,14238.34
Xiaomi,Redmi Note 8,256,4,1,26316.47
Apple,iPhone 11,128,6,1,21622.54
Xiaomi,Redmi Note 9,256,6,5,16920.53
Apple,iPhone 11,128,8,2,22984.78
Samsung,Galaxy S21,64,12,3,13419.68
Xiaomi,Redmi Note 8,64,4,0,12187.69
Apple,iPhone 12,256,4,0,28152.87
Oppo,Find X3,128,6,3,14811.77
Samsung,Galaxy S21,64,12,4,13437.78
Samsung,Galaxy S21,128,6,2,17452.75
OnePlus,8T,128,8,4,15585.21
Oppo,Reno 5,128,12,1,15635.92
Oppo,Find X3,64,6,5,7216.35
Oppo,Reno 5,256,8,1,24544.37
OnePlus,8T,64,6,2,13576.98
Huawei,Mate 40,128,4,1,17915.79
Huawei,Mate 40,64,4,2,10839.11
Apple,iPhone 12,128,4,5,15839.14
Xiaomi,Redmi Note 9,64,4,4,8247.88
Apple,iPhone 10,256,4,2,29758.72
Samsung,Galaxy S21,128,12,4,15321.14
Apple,iPhone 11,256,6,0,31304.68
Samsung,Galaxy S21,128,12,4,14890.48
Huawei,P40,64,12,1,14860.51
OnePlus,Nord,128,8,3,14474.87
Apple,iPhone 11,256,6,0,32049.22
Oppo,Find X3,64,12,0,12400.46
OnePlus,8T,256,4,2,27959.08
Oppo,Reno 5,128,12,4,10725.36
Samsung,Galaxy S10,64,12,0,14997.84
OnePlus,8T,128,8,0,17664.81
Oppo,A15,128,4,5,10935.34
Xiaomi,Redmi Note 9,256,6,1,22290.79
Huawei,Mate 40,128,8,3,13334.59
Huawei,P40,128,12,0,20762.63
Huawei,P40,256,6,4,22680.7
Huawei,P30,128,6,1,15891.93
Huawei,P30,256,8,2,20403.43
Apple,iPhone 10,256,12,5,24800.07
Xiaomi,Mi 11,128,6,2,12841.08
Xiaomi,Redmi Note 8,128,12,1,18333.38
Oppo,Find X3,64,8,1,12087.36
Xiaomi,Redmi Note 8,64,4,1,10813.38
Apple,iPhone 11,64,12,5,15067.13
Samsung,Galaxy S20,64,6,3,12940.32
Xiaomi,Mi 11,128,6,5,13194.01
Samsung,Galaxy S21,256,4,5,26591.21
Apple,iPhone 10,128,4,2,20831.83
